577	UW POLICE 1	
579	UW POLICE TAC	
581	UW POLICE ADMIN	
2339	VALLEY COM POLICE RECORDS	
2343	VALLEY COM SPEC OPS 1	
2345	VALLEY COM SPEC OPS 2	
2347	VALLEY COM SPEC OPS 3	
2349	VALLEY COM SPEC OPS 4	
2355	VALLEY COM SPEC OPS 5	
2403	VALLEY COM FIRE 1	
2405	VALLEY COM FIRE 2	
2407	VALLEY COM FIRE 3	
2409	VALLEY COM FIRE 4	
1917	VALLEY COM FIRE 5	
1919	VALLEY COM FIRE 6	
1921	VALLEY COM FIRE 7	
2415	VALLEY COM FIRE TRAIN	
2411	VALLEY COM OPS 1	
2413	VALLEY COM FIRE 9	
3919	VALLEY COM Z3 EMER	
2421	TRIMED AMB	
1247	WOODNVLE PW	
3857	PUG SND BLOOD BANK	
343	UNKNOWN SEATTLE PD	
3780	UNKNOWN SOUND TRANSIT	
6006	UNKNOWN TESTING	
